pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,discoverymethod,disc_year,pl_refname,habitable_zone
GJ 1002 b,GJ 1002,10.3465,0.0457,,,1.08,0.67,231.0,3024.0,0.14,0.12,-0.25,Radial Velocity,2022,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,True
HD 109286 b,HD 109286,520.1,1.259,0.338,,950.30694,0.71,259.0,5694.0,1.09,0.98,0.05,Radial Velocity,2021,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,True
HD 191939 g,HD 191939,284.0,0.812,0.03,,13.5,0.99,278.0,5348.0,0.94,0.81,-0.15,Radial Velocity,2022,<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,True
HD 27969 b,HD 27969,654.5,1.552,0.182,,1525.57635,0.76,261.0,5966.0,1.27,1.16,0.18,Radial Velocity,2021,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,True
HD 48948 d,HD 48948,151.92,0.4894,0.055,,10.59,2.46,349.0,4593.0,0.68,0.69,-0.21,Radial Velocity,2024,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>,True
K2-18 b,K2-18,32.94000210200001,0.14793333333333336,0.21,2.2514444444444446,8.503333333333334,1.0225,261.2,3466.1111111111113,0.395,0.4071428571428571,0.11099999999999999,Transit,2015,"<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>, <a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>, <a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>, <a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>, <a refstr=BENNEKE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..187B/abstract target=ref>Benneke et al. 2017</a>, <a refstr=BENNEKE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...887L..14B/abstract target=ref>Benneke et al. 2019</a>, <a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>, <a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>, <a refstr=CLOUTIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..35C/abstract target=ref>Cloutier et al. 2017</a>, <a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>",True
Kepler-1661 b,Kepler-1661,175.06,0.633,0.057,3.87,17.0,0.88,243.0,5100.0,0.76,0.84,-0.12,Transit,2020,<a refstr=SOCIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...94S/abstract target=ref>Socia et al. 2020</a>,True
Kepler-1704 b,Kepler-1704,924.0675984666667,1.916794,0.23,11.082,1322.16617,0.525,239.5,5757.003333333334,1.615,1.1216666666666668,0.20639999999999997,Transit,2013,"<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>, <a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>, <a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>, <a refstr=DALBA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..154D/abstract target=ref>Dalba et al. 2021</a>, <a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>, <a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>",True
Kepler-22 b,Kepler-22,289.863821044,0.8298285714285714,0.10285714285714286,2.191111111111111,22.55,1.105,264.14285714285717,5589.090909090909,0.9127272727272728,0.9250000000000002,-0.2627777777777778,Transit,2011,"<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>, <a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>, <a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>, <a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>, <a refstr=BORUCKI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745..120B/abstract target=ref>Borucki et al. 2012</a>, <a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>, <a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>, <a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>, <a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>, <a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>, <a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",True
Kepler-553 c,Kepler-553,328.240050869,0.9015785714285715,0.057666666666666665,11.390222222222222,2129.45033,0.6914285714285714,238.16666666666666,5288.909090909091,0.8872727272727272,0.899,0.15577777777777777,Transit,2016,"<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>, <a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>, <a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>, <a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>, <a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>, <a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>, <a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>, <a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>, <a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>, <a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>, <a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>",True
