pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,discoverymethod,disc_year
11 Com b,11 Com,323.21,1.178,0.238,,4914.89849,,,,,,4874.0,13.76,2.09,1.978,-0.26,2.45,93.1846,Radial Velocity,2007
11 UMi b,11 UMi,516.21997,1.53,0.08,,4684.8142,,,,,,4213.0,29.79,2.78,,-0.02,1.93,125.321,Radial Velocity,2009
14 And b,14 And,186.76,0.775,0.0,,1131.1513,,,,,,4888.0,11.55,1.78,1.84,-0.21,2.55,75.4392,Radial Velocity,2008
14 Her b,14 Her,1765.0389,2.774,0.373,,2559.47216,2559.47216,,,,144.652,5314.94,1.0,0.91,-0.153,0.405,4.43,17.9323,Radial Velocity,2002
16 Cyg B b,16 Cyg B,799.45,1.676,0.6832,,556.83537,,,,,,5711.97,1.16,0.98,0.097,0.074,4.3,21.1397,Radial Velocity,1996
17 Sco b,17 Sco,578.38,1.45,0.06,,1373.01872,,,,,,4157.0,25.92,1.22,2.254,-0.01,1.7,124.953,Radial Velocity,2020
18 Del b,18 Del,982.85,2.476,0.024,,2926.24614,,,,,,4980.0,8.8,2.1,1.634,-0.06,2.87,76.222,Radial Velocity,2008
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.0,,18.647,4000.0,4000.0,,,1700.0,,4060.0,1.31,0.85,-0.37,,4.0,139.135,Imaging,2008
24 Boo b,24 Boo,30.33,0.194,0.032,,280.64248,,,,,,4816.0,12.19,1.05,1.877,-0.78,2.28,95.9863,Radial Velocity,2018
24 Sex b,24 Sex,452.8,1.333,0.09,,632.46,,,,,,5098.0,4.9,1.54,1.164,-0.03,3.5,72.0691,Radial Velocity,2010
24 Sex c,24 Sex,883.0,2.08,0.29,,273.32,,,,,,5098.0,4.9,1.54,1.164,-0.03,3.5,72.0691,Radial Velocity,2010
2M0437 b,2MASS J04372171+2651014,,118.0,,,1271.31363,1271.31363,,,1450.0,,3100.0,0.84,0.17,-1.164,0.01,4.5,128.484,Imaging,2021
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,84.0,,,4131.79,4131.79,,,,,,,0.19,,,,,Imaging,2013
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52.0,,11.209,7786.5,7786.5,,,1600.0,,3309.0,0.37,0.35,-1.838,,4.86,33.8281,Imaging,2013
2MASS J02192210-3925225 b,2MASS J02192210-3925225,,156.0,,16.141,4417.837,4417.837,,,,,3064.0,0.28,0.11,-2.23,,4.59,,Imaging,2015
2MASS J0249-0557 c,2MASS J0249-0557 A,,1950.0,,,3686.80952,3686.80952,,,,,,,0.05,-2.59,,,66.0613,Imaging,2018
2MASS J03590986+2009361 b,2MASS J03590986+2009361,,572.0,,,5720.91133,5720.91133,,,2369.0,,,,,,,,117.435,Imaging,2024
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,15.0,,,2383.6,2383.6,,,,,,,0.02,,,,,Imaging,2010
2MASS J11011926-7732383 b,2MASS J11011926-7732383,,266.0,,,8899.1954,8899.1954,,,2677.0,,,,,,,,,Imaging,2024
2MASS J11550485-7919108 b,2MASS J11550485-7919108,,587.0,,,6356.56814,6356.56814,,,2506.0,,,,,,,,100.862,Imaging,2024
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,46.0,,,1271.0,1271.0,,,1150.0,,2825.0,0.22,0.19,-2.561,,5.03,64.308,Imaging,2004
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,0.92,0.33,,591.16084,603.877,,,,,29564.0,0.2,0.48,,,5.51,396.332,Eclipse Timing Variations,2015
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,7493.0,,,3813.94088,3813.94088,,,1616.0,,,,,,,,34.1154,Imaging,2024
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,230.0,,,3972.875,3972.875,,,,,4045.0,,0.6,,,,69.5737,Imaging,2016
30 Ari B b,30 Ari B,335.10001,0.99,0.29,,4392.4106,,,,,,6331.0,1.41,1.93,,0.19,4.43,44.657,Radial Velocity,2009
4 UMa b,4 UMa,270.27,0.877,0.453,,2511.48007,,,,,,4415.0,18.11,1.23,,-0.25,1.8,73.4603,Radial Velocity,2006
42 Dra b,42 Dra,479.1,1.19,0.38,,1233.13,,,,,,4200.0,22.03,0.98,,-0.46,1.71,90.6545,Radial Velocity,2008
47 UMa b,47 UMa,1076.6,2.059,0.016,,774.86566,,,,,,5829.16,1.14,1.01,0.198,0.026,4.33,13.7967,Radial Velocity,1996
47 UMa c,47 UMa,2287.0,3.404,0.179,,157.96072,,,,,,5829.16,1.14,1.01,0.198,0.026,4.33,13.7967,Radial Velocity,2001
47 UMa d,47 UMa,19000.0,13.8,0.38,,479.92089,,,,,,5829.16,1.14,1.01,0.198,0.026,4.33,13.7967,Radial Velocity,2009
51 Eri b,51 Eri,11688.0,12.0,0.45,,635.66,635.66,,,700.0,133.0,7295.0,1.49,1.65,0.752,-0.027,4.31,29.7575,Imaging,2015
51 Peg b,51 Peg,4.2307969,0.05235,0.0042,,147.47238,146.2018,,,,80.0,5760.76,1.19,1.07,0.136,0.206,4.32,15.4614,Radial Velocity,1995
55 Cnc b,55 Cnc,14.65171,0.1162,0.0048,,267.29369,254.25,,,700.0,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,Radial Velocity,1996
55 Cnc c,55 Cnc,44.3827,0.2432,0.048,,54.34866,54.4738,,,,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,Radial Velocity,2004
55 Cnc d,55 Cnc,4820.0,5.54,0.139,,908.98924,1232.493,,,,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,Radial Velocity,2002
55 Cnc e,55 Cnc,0.73654625,0.01583,0.036,1.897,9.37594,7.74,6.25,2657.83,1831.0,83.6,5234.0,0.94,0.91,-0.197,0.31,4.45,12.5855,Radial Velocity,2004
55 Cnc f,55 Cnc,260.98,0.792,0.142,,46.87969,44.812,,,,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,Radial Velocity,2007
6 Lyn b,6 Lyn,919.86,2.028,0.042,,597.83523,,,,,,4941.0,4.94,1.32,1.119,-0.17,3.16,54.6599,Radial Velocity,2008
61 Vir b,61 Vir,4.21487,0.04956,0.099,,5.11704,,,,,,5585.57,1.03,0.91,-0.095,0.028,4.37,8.50332,Radial Velocity,2009
61 Vir c,61 Vir,38.0957,0.2151,0.068,,16.1139,,,,,,5585.57,1.03,0.91,-0.095,0.028,4.37,8.50332,Radial Velocity,2009
61 Vir d,61 Vir,123.01,0.476,0.35,,22.9,,,,,,5577.0,0.96,0.94,-0.095,-0.01,4.34,8.50332,Radial Velocity,2009
7 CMa b,7 CMa,735.1,1.8,0.06,,616.5,,,,,90.0,4826.0,5.2,1.44,1.121,0.21,3.17,19.8101,Radial Velocity,2011
7 CMa c,7 CMa,996.0,2.205,0.08,,289.9,,,,,90.0,4826.0,5.2,1.44,1.121,0.21,3.17,19.8101,Radial Velocity,2019
70 Vir b,70 Vir,116.69335,0.4765,0.3989,,2297.89938,2380.45,,,,,5481.86,1.92,1.06,0.451,-0.04,3.89,17.9011,Radial Velocity,1996
75 Cet b,75 Cet,696.62,1.912,0.093,,787.89662,,,,,,4809.0,10.38,1.92,1.714,0.1,2.69,82.9613,Radial Velocity,2012
75 Cet c,75 Cet,2051.62,3.929,0.023,,289.85951,,,,,,4809.0,10.38,1.92,1.714,0.1,2.69,82.9613,Radial Velocity,2023
8 UMi b,8 UMi,93.4,0.49,0.06,,416.3573,,,,,,4847.0,10.3,1.44,,-0.03,2.57,162.552,Radial Velocity,2015
81 Cet b,81 Cet,1005.57,2.104,0.037,,1051.05854,,,,,,4734.0,11.21,1.23,1.76,-0.11,2.41,101.26,Radial Velocity,2008
91 Aqr b,91 Aqr,181.4,0.7,0.027,,1017.0,,,,,,4665.0,11.0,1.4,,-0.03,2.52,44.0304,Radial Velocity,2013
AB Aur b,AB Aur,,93.9,0.4,,2860.45566,2860.45566,,,,42.6,9770.0,,2.4,1.771,,,162.127,Imaging,2022
AB Pic b,AB Pic,,260.0,,,4290.5,4290.5,,,,,,,,,,,50.0475,Imaging,2005
AF Lep b,AF Lep,7520.0,7.99,0.47,,1664.46737,1664.46737,,,1400.0,82.0,6100.0,1.25,1.2,,0.19,4.4,26.8564,Imaging,2023
AU Mic b,AU Mic,8.46308,0.0649,0.00577,3.957,10.2,10.2,0.97,21.2,600.0,89.579,3678.0,0.74,0.51,-1.038,0.23,4.4,9.7221,Transit,2020
AU Mic c,AU Mic,18.85969,0.1108,0.00338,2.522,14.2,14.2,3.66,7.3,459.0,89.227,3678.0,0.74,0.51,-1.038,0.23,4.4,9.7221,Transit,2021
AU Mic d,AU Mic,12.73596,,0.00305,,1.053,1.053,,,,89.318,3678.0,0.74,0.51,-1.038,0.23,4.4,9.7221,Transit Timing Variations,2023
BD+03 2562 b,BD+03 2562,481.9,1.3,0.2,,2034.112,,,,,,4095.0,32.35,1.14,2.7,-0.71,1.89,1070.63,Radial Velocity,2017
BD+14 4559 b,BD+14 4559,268.94,0.78,0.29,,330.5432,,,,,,4864.0,0.86,0.49,-0.32,0.17,4.26,49.352,Radial Velocity,2009
BD+15 2375 b,BD+15 2375,153.22,0.576,0.001,,337.21763,,,,,,4649.0,8.95,1.08,1.57,-0.22,2.61,768.045,Radial Velocity,2016
BD+15 2940 b,BD+15 2940,137.48,0.539,0.26,,352.78,,,,,,4796.0,14.7,1.1,2.01,0.28,2.8,426.42,Radial Velocity,2013
BD+20 2457 b,BD+20 2457,379.63,1.05,0.15,,17668.1697,,,,,,4259.0,71.02,10.83,3.17,-0.79,1.77,1539.71,Radial Velocity,2009
BD+20 2457 c,BD+20 2457,621.99,2.01,0.18,,3963.17,,,,,,4137.0,49.0,2.8,3.17,-1.0,1.51,1539.71,Radial Velocity,2009
BD+20 274 b,BD+20 274,578.2,1.3,0.21,,1334.886,,,,,,4296.0,17.3,0.8,1.96,-0.46,1.99,1322.51,Radial Velocity,2012
BD+20 594 b,BD+20 594,41.688644,0.241,0.0,2.355,22.2481,22.2481,7.89,,546.0,89.526,5703.0,0.96,0.96,-0.056,-0.06,4.38,179.461,Transit,2016
BD+45 564 b,BD+45 564,307.88,0.83,0.12,,432.24663,,,,,2.579,5004.0,,0.81,,-0.09,4.22,53.622,Radial Velocity,2021
BD+48 738 b,BD+48 738,392.6,1.0,0.2,,289.2253,,,,,,4414.0,11.0,0.74,1.69,-0.2,2.24,871.493,Radial Velocity,2011
BD+48 740 b,BD+48 740,733.0,1.7,0.76,,540.311,,,,,,4534.0,10.33,1.09,1.64,-0.13,2.48,666.589,Radial Velocity,2018
BD+49 828 b,BD+49 828,2590.0,4.2,0.35,,508.5,,,,,,4943.0,7.6,1.52,1.47,-0.19,2.85,442.042,Radial Velocity,2015
BD+55 362 b,BD+55 362,265.59,0.78,0.27,,228.83645,,,,,0.601,5012.0,,0.91,,0.18,4.09,52.5697,Radial Velocity,2021
BD+60 1417 b,BD+60 1417,,1662.0,,14.684,4767.4261,4767.4261,,,1303.0,,4993.0,0.8,1.0,0.356,,4.55,44.9543,Imaging,2021
BD+63 1405 b,BD+63 1405,1230.0,2.115,0.891,,3305.41543,3305.41543,,,,23.5,5000.0,,0.82,,-0.09,4.2,38.0473,Radial Velocity,2021
BD-06 1339 c,BD-06 1339,125.94,0.435,0.31,,53.0,,,,,,4324.0,,0.7,-1.022,-0.14,4.74,20.2695,Radial Velocity,2013
