pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,sy_plx,sy_dist.1,discoverymethod,disc_year,pl_type
14 Her b,14 Her,1765.0389,2.774,0.373,19.52631999999999,2559.47216,2559.47216,,,944.16,144.652,5314.94,1.0,0.91,-0.153,0.405,4.43,17.9323,55.7363,17.9323,Radial Velocity,2002,Gas Giant
16 Cyg B b,16 Cyg B,799.45,1.676,0.6832,8.785133999999998,556.83537,,,,812.104,,5711.97,1.16,0.98,0.097,0.074,4.3,21.1397,47.2754,21.1397,Radial Velocity,1996,Gas Giant
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.0,,18.647,4000.0,4000.0,,,1700.0,,4060.0,1.31,0.85,-0.37,,4.0,139.135,7.15949,139.135,Imaging,2008,Gas Giant
47 UMa b,47 UMa,1076.6,2.059,0.016,8.578143999999998,774.86566,,,,687.426,,5829.16,1.14,1.01,0.198,0.026,4.33,13.7967,72.4528,13.7967,Radial Velocity,1996,Unknown
51 Peg b,51 Peg,4.2307969,0.05235,0.0042,10.190255999999984,147.47238,146.2018,,,1113.986,80.0,5760.76,1.19,1.07,0.136,0.206,4.32,15.4614,64.6488,15.4614,Radial Velocity,1995,Gas Giant
55 Cnc b,55 Cnc,14.65171,0.1162,0.0048,9.894754000000011,267.29369,254.25,,,700.0,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,79.4274,12.5855,Radial Velocity,1996,Unknown
55 Cnc c,55 Cnc,44.3827,0.2432,0.048,3.9903079999999993,54.34866,54.4738,,,558.35,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,79.4274,12.5855,Radial Velocity,2004,Unknown
55 Cnc d,55 Cnc,4820.0,5.54,0.139,19.278483999999995,908.98924,1232.493,,,928.646,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,79.4274,12.5855,Radial Velocity,2002,Gas Giant
55 Cnc e,55 Cnc,0.73654625,0.01583,0.036,1.897,9.37594,7.74,6.25,2657.83,1831.0,83.6,5234.0,0.94,0.91,-0.197,0.31,4.45,12.5855,79.4274,12.5855,Radial Velocity,2004,Unknown
55 Cnc f,55 Cnc,260.98,0.792,0.142,5.100538000000012,46.87969,44.812,,,488.158,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,79.4274,12.5855,Radial Velocity,2007,Unknown
6 Lyn b,6 Lyn,919.86,2.028,0.042,10.243055999999989,597.83523,,,,1022.104,,4941.0,4.94,1.32,1.119,-0.17,3.16,54.6599,18.2668,54.6599,Radial Velocity,2008,Gas Giant
